partida_id,rodata,data,hora,mandante,visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,mandante_chutes,mandante_chutes_no_alvo,mandante_posse_de_bola,mandante_passes,mandante_precisao_passes,mandante_faltas,mandante_cartao_amarelo,mandante_cartao_vermelho,mandante_impedimentos,mandante_escanteios,visitante_chutes,visitante_chutes_no_alvo,visitante_posse_de_bola,visitante_passes,visitante_precisao_passes,visitante_faltas,visitante_cartao_amarelo,visitante_cartao_vermelho,visitante_impedimentos,visitante_escanteios
4898,30,2014-10-22,19:30:00,Corinthians,Vitoria,L. Venker de Menezes,N. da Silveira Júnior,Corinthians,Arena Pantanal,2,1,SP,BA,11,0,46%,399,Sem Info,18,1,0,0,7,9,0,54%,470,Sem Info,12,1,0,3,6
4927,33,2014-11-08,19:29:00,Coritiba,Fluminense,M. dos Santos Gonçalves,C. Borges dos Santos,Coritiba, Couto Pereira,1,0,PR,RJ,12,0,33%,212,Sem Info,24,2,0,4,5,10,0,67%,440,Sem Info,12,5,0,0,8
4928,33,2014-11-08,19:31:00,Palmeiras,Atletico-MG,D. Silvestre Júnior,L. Culpi,Atletico-MG,Estádio Municipal Paulo Machado de Carvalho,0,2,SP,MG,16,0,57%,495,Sem Info,14,0,0,3,8,13,0,43%,393,Sem Info,16,1,0,0,0
4949,34,2014-11-16,17:03:00,Bahia,Corinthians,C. Fabian,L. Venker de Menezes,Corinthians,Itaipava Arena Fonte Nova,1,2,BA,SP,14,0,51%,440,Sem Info,17,2,0,3,8,13,0,49%,447,Sem Info,20,2,0,0,3
4942,35,2014-11-19,21:02:00,Criciuma,Bahia,A. Cecílio Sobrinho,C. Fabian,Bahia,Estádio Heriberto Hülse,0,1,SC,BA,10,0,61%,459,Sem Info,22,4,0,1,7,13,0,39%,310,Sem Info,23,1,0,1,3
4987,1,2015-05-09,18:32:00,Chapecoense,Coritiba,V. Eutrópio,M. dos Santos Gonçalves,Chapecoense,Arena Condá,2,1,SC,PR,13,0,45%,326,Sem Info,20,2,0,3,3,16,0,55%,388,Sem Info,21,2,0,0,5
4988,1,2015-05-09,18:33:00,Palmeiras,Atletico-MG,O. de Oliveira Filho,L. Culpi,-,Allianz Parque,2,2,SP,MG,17,0,50%,406,Sem Info,20,2,0,2,11,10,0,50%,426,Sem Info,14,4,0,4,2
4989,1,2015-05-09,21:00:00,Fluminense,Joinville,S. Drubscky de Campos,H. Maria,Fluminense, Maracanã,1,0,RJ,SC,26,11,74%,702,Sem Info,9,2,0,1,5,3,0,26%,250,Sem Info,14,0,1,1,3
4990,1,2015-05-10,11:00:00,Gremio,Ponte Preta,L. Scolari,A. Ferreira,-,Arena do Grêmio,3,3,RS,SP,11,0,45%,401,Sem Info,17,3,0,2,5,17,0,55%,473,Sem Info,21,4,1,0,10
4993,1,2015-05-10,15:59:00,Cruzeiro,Corinthians,M. de Oliveira Santos,A. Bacchi,Corinthians,Arena Pantanal,0,1,MG,SP,13,0,56%,487,Sem Info,17,3,0,4,2,11,0,44%,391,Sem Info,15,1,0,2,4
4994,1,2015-05-10,15:59:00,Sport,Figueirense,E. Baptista,A. Fucks,Sport,Adelmar da Costa Carvalho,4,1,PE,SC,17,0,54%,449,Sem Info,17,1,0,0,7,7,0,46%,391,Sem Info,14,2,1,3,1
4991,1,2015-05-10,16:00:00,Athletico-PR,Internacional,M. Mendes,D. Aguirre Camblor,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RS,10,0,39%,335,Sem Info,17,1,0,1,2,17,0,61%,502,Sem Info,17,2,0,1,11
4992,1,2015-05-10,16:02:00,Sao Paulo,Flamengo,M. Cruz,V. Luxemburgo da Silva,Sao Paulo, Morumbi,2,1,SP,RJ,19,0,54%,502,Sem Info,17,2,0,1,4,12,0,46%,430,Sem Info,12,1,0,6,6
4995,1,2015-05-10,18:34:00,Avai,Santos,G. Kleina,M. Fernandes,-,  Ressacada,1,1,SC,SP,16,0,51%,462,Sem Info,10,2,0,2,4,8,0,49%,452,Sem Info,11,1,1,2,3
4997,2,2015-05-16,18:29:00,Goias,Athletico-PR,H. Pinto dos Anjos,M. Mendes,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,0,GO,PR,13,0,41%,334,Sem Info,14,2,0,0,6,8,0,59%,477,Sem Info,18,1,1,1,5
4998,2,2015-05-16,18:33:00,Coritiba,Gremio,M. dos Santos Gonçalves,L. Scolari,Coritiba, Couto Pereira,2,0,PR,RS,9,0,43%,353,Sem Info,22,2,0,3,2,10,0,57%,456,Sem Info,13,3,0,4,4
4999,2,2015-05-16,21:02:00,Corinthians,Chapecoense,A. Bacchi,V. Eutrópio,Corinthians,Estádio Doutor Adhemar de Barros,1,0,SP,SC,13,0,46%,437,Sem Info,16,2,0,1,7,11,0,54%,487,Sem Info,13,4,0,5,2
5001,2,2015-05-17,16:01:00,Atletico-MG,Fluminense,L. Culpi,S. Drubscky de Campos,Atletico-MG,Estádio Nacional de Brasília,4,1,MG,RJ,16,8,54%,466,Sem Info,17,2,0,1,7,8,2,46%,411,Sem Info,9,1,0,2,0
5002,2,2015-05-17,16:02:00,Flamengo,Sport,V. Luxemburgo da Silva,E. Baptista,-, Maracanã,2,2,RJ,PE,18,0,59%,492,Sem Info,10,2,0,6,13,14,0,41%,373,Sem Info,7,3,0,1,3
5003,2,2015-05-17,16:02:00,Santos,Cruzeiro,M. Fernandes,M. de Oliveira Santos,Santos,Estádio Urbano Caldeira,1,0,SP,MG,20,0,44%,351,Sem Info,18,1,0,2,15,7,0,56%,445,Sem Info,13,4,0,5,3
5006,2,2015-05-17,18:30:00,Internacional,Avai,D. Aguirre Camblor,G. Kleina,Internacional,Estádio José Pinheiro Borda,1,0,RS,SC,8,0,57%,451,Sem Info,17,3,0,2,4,6,0,43%,345,Sem Info,26,7,0,4,9
5005,2,2015-05-17,18:33:00,Ponte Preta,Sao Paulo,A. Ferreira,M. Cruz,Ponte Preta, Moisés Lucarelli,1,0,SP,SP,19,0,40%,373,Sem Info,15,1,0,5,6,10,0,60%,549,Sem Info,14,3,0,1,4
5008,3,2015-05-23,18:31:00,Vasco,Internacional,D. Ghidoni Junior,D. Aguirre Camblor,-,Estádio Vasco da Gama,1,1,RJ,RS,13,0,61%,466,Sem Info,15,6,0,1,8,7,0,39%,312,Sem Info,16,2,1,0,1
5007,3,2015-05-23,18:33:00,Sao Paulo,Joinville,M. Cruz,H. Maria,Sao Paulo, Morumbi,3,0,SP,SC,16,0,63%,642,Sem Info,12,2,0,3,5,7,0,37%,380,Sem Info,11,0,0,1,0
5009,3,2015-05-23,21:00:00,Gremio,Figueirense,J. Freitas,A. Fucks,Gremio,Arena do Grêmio,1,0,RS,SC,19,0,63%,536,Sem Info,16,6,0,1,11,5,0,37%,326,Sem Info,24,5,0,1,4
5010,3,2015-05-24,11:02:00,Palmeiras,Goias,O. de Oliveira Filho,H. Pinto dos Anjos,Goias,Allianz Parque,0,1,SP,GO,21,0,74%,445,Sem Info,13,6,1,5,13,7,0,26%,171,Sem Info,24,4,1,1,6
5011,3,2015-05-24,16:00:00,Chapecoense,Santos,V. Eutrópio,M. Fernandes,Chapecoense,Arena Condá,1,0,SC,SP,13,0,40%,307,Sem Info,13,5,0,3,4,15,0,60%,462,Sem Info,20,6,0,3,5
5012,3,2015-05-24,16:00:00,Athletico-PR,Atletico-MG,M. Mendes,L. Culpi,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,MG,11,0,36%,324,Sem Info,7,4,1,4,2,16,0,64%,537,Sem Info,8,0,0,3,9
5014,3,2015-05-24,16:02:00,Avai,Flamengo,G. Kleina,V. Luxemburgo da Silva,Avai,  Ressacada,2,1,SC,RJ,13,0,43%,338,Sem Info,15,5,0,0,4,8,0,57%,443,Sem Info,17,6,0,7,2
5015,3,2015-05-24,18:30:00,Cruzeiro,Ponte Preta,M. de Oliveira Santos,A. Ferreira,-, Mineirão,1,1,MG,SP,22,0,54%,390,Sem Info,17,2,0,3,16,15,0,46%,357,Sem Info,11,2,0,4,3
5016,3,2015-05-24,18:31:00,Sport,Coritiba,E. Baptista,M. dos Santos Gonçalves,Sport,Adelmar da Costa Carvalho,1,0,PE,PR,12,0,49%,388,Sem Info,13,1,0,1,2,9,0,51%,385,Sem Info,17,4,0,0,5
5017,4,2015-05-30,18:30:00,Ponte Preta,Chapecoense,A. Ferreira,V. Eutrópio,Ponte Preta, Moisés Lucarelli,3,1,SP,SC,13,0,47%,438,Sem Info,20,4,0,1,0,14,0,53%,483,Sem Info,15,1,1,0,4
5018,4,2015-05-30,18:32:00,Coritiba,Avai,M. dos Santos Gonçalves,G. Kleina,Avai, Couto Pereira,1,2,PR,SC,11,0,58%,413,Sem Info,17,4,0,3,5,11,0,42%,310,Sem Info,21,4,0,0,3
5019,4,2015-05-30,21:00:00,Joinville,Athletico-PR,H. Maria,M. Mendes,Athletico-PR,Arena Joinville,1,2,SC,PR,10,0,54%,464,Sem Info,12,0,0,1,4,19,0,46%,399,Sem Info,13,4,0,4,7
5020,4,2015-05-31,10:59:00,Santos,Sport,M. Fernandes,E. Baptista,-,Estádio Urbano Caldeira,2,2,SP,PE,18,0,54%,472,Sem Info,9,1,0,6,8,15,0,46%,415,Sem Info,11,2,0,0,7
5022,4,2015-05-31,15:59:00,Atletico-MG,Vasco,L. Culpi,D. Ghidoni Junior,Atletico-MG,Estádio Raimundo Sampaio,3,0,MG,RJ,21,0,53%,457,Sem Info,16,0,0,2,5,9,0,47%,413,Sem Info,12,3,0,3,7
5021,4,2015-05-31,16:00:00,Goias,Gremio,H. Pinto dos Anjos,R. Machado Marques,-,Estádio do Governo do Estado de Goiás (Serra Dourada),1,1,GO,RS,10,0,41%,345,Sem Info,14,1,0,0,2,9,0,59%,495,Sem Info,14,1,0,1,3
5023,4,2015-05-31,16:03:00,Corinthians,Palmeiras,A. Bacchi,O. de Oliveira Filho,Palmeiras,Neo Química Arena,0,2,SP,SP,9,0,54%,477,Sem Info,21,5,0,4,2,12,0,46%,409,Sem Info,21,5,0,3,6
5025,4,2015-05-31,18:29:00,Flamengo,Fluminense,C. Borges dos Santos,E. Alves Moreira,Fluminense, Maracanã,2,3,RJ,RJ,15,5,67%,475,Sem Info,24,5,1,1,8,7,2,33%,253,Sem Info,23,3,1,0,1
5026,4,2015-05-31,18:31:00,Figueirense,Cruzeiro,A. Fucks,M. de Oliveira Santos,Figueirense, Orlando Scarpelli,2,1,SC,MG,9,0,32%,266,Sem Info,17,3,0,2,5,22,0,68%,545,Sem Info,11,5,1,1,4
5027,5,2015-06-03,19:31:00,Athletico-PR,Figueirense,M. Mendes,A. Fucks,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,SC,12,0,47%,385,Sem Info,12,1,0,1,6,9,0,53%,442,Sem Info,8,4,0,5,4
5028,5,2015-06-03,19:32:00,Vasco,Ponte Preta,D. Ghidoni Junior,A. Ferreira,Ponte Preta,Estádio Vasco da Gama,0,3,RJ,SP,14,0,52%,441,Sem Info,15,1,2,0,6,16,0,48%,417,Sem Info,18,3,0,3,2
5029,5,2015-06-03,19:32:00,Chapecoense,Joinville,V. Eutrópio,H. Maria,Chapecoense,Arena Condá,2,0,SC,SC,10,0,53%,349,Sem Info,16,3,0,1,7,12,0,47%,314,Sem Info,12,5,0,1,10
5030,5,2015-06-03,21:02:00,Sao Paulo,Santos,J. Osorio,M. Fernandes,Sao Paulo, Morumbi,3,2,SP,SP,13,0,63%,531,Sem Info,14,5,0,1,8,8,0,37%,329,Sem Info,15,3,1,0,1
5033,5,2015-06-03,21:59:00,Gremio,Corinthians,R. Machado Marques,A. Bacchi,Gremio,Arena do Grêmio,3,1,RS,SP,13,0,38%,397,Sem Info,22,2,0,6,3,20,0,62%,627,Sem Info,10,3,0,0,5
5032,5,2015-06-03,22:00:00,Avai,Atletico-MG,G. Kleina,L. Culpi,Atletico-MG,  Ressacada,1,4,SC,MG,7,0,46%,395,Sem Info,12,3,0,3,10,16,0,54%,479,Sem Info,15,3,0,4,7
5031,5,2015-06-03,22:01:00,Cruzeiro,Flamengo,V. Luxemburgo da Silva,C. Borges dos Santos,Cruzeiro, Mineirão,1,0,MG,RJ,11,0,52%,410,Sem Info,16,2,0,2,5,8,0,48%,378,Sem Info,17,3,0,1,10
5034,5,2015-06-04,16:00:00,Fluminense,Coritiba,E. Alves Moreira,M. dos Santos Gonçalves,Fluminense, Maracanã,2,0,RJ,PR,12,6,53%,451,Sem Info,13,1,0,1,3,8,4,47%,414,Sem Info,24,4,0,3,4
5035,5,2015-06-04,21:01:00,Sport,Goias,E. Baptista,H. Pinto dos Anjos,Sport,Adelmar da Costa Carvalho,1,0,PE,GO,16,0,67%,597,Sem Info,11,2,0,4,7,9,0,33%,296,Sem Info,13,4,0,1,3
5036,5,2015-06-04,21:02:00,Palmeiras,Internacional,O. de Oliveira Filho,D. Aguirre Camblor,-,Allianz Parque,1,1,SP,RS,15,0,57%,456,Sem Info,15,1,0,3,9,5,0,43%,354,Sem Info,13,4,0,1,2
5038,6,2015-06-06,18:29:00,Flamengo,Chapecoense,C. Borges dos Santos,V. Eutrópio,Flamengo, Maracanã,1,0,RJ,SC,18,0,64%,437,Sem Info,13,1,0,2,5,6,0,36%,262,Sem Info,12,0,1,1,1
5039,6,2015-06-06,18:30:00,Santos,Ponte Preta,M. Fernandes,A. Ferreira,-,Estádio Urbano Caldeira,2,2,SP,SP,18,0,52%,451,Sem Info,17,2,0,2,6,19,0,48%,416,Sem Info,15,2,0,3,2
5041,6,2015-06-06,21:58:00,Joinville,Corinthians,A. Batista,A. Bacchi,Corinthians,Arena Joinville,0,1,SC,SP,14,0,51%,432,Sem Info,8,1,0,1,9,13,0,49%,430,Sem Info,9,1,0,0,5
5040,6,2015-06-06,22:01:00,Athletico-PR,Vasco,M. Mendes,D. Ghidoni Junior,Athletico-PR,Estádio Joaquim Américo Guimarães,2,0,PR,RJ,13,0,45%,380,Sem Info,15,4,0,2,7,14,0,55%,480,Sem Info,7,3,0,2,3
5042,6,2015-06-06,22:01:00,Sao Paulo,Gremio,J. Osorio,R. Machado Marques,Sao Paulo, Morumbi,2,0,SP,RS,13,0,60%,631,Sem Info,19,3,0,2,4,9,0,40%,436,Sem Info,14,2,0,1,3
5043,6,2015-06-07,11:02:00,Internacional,Coritiba,D. Aguirre Camblor,M. dos Santos Gonçalves,Internacional,Estádio José Pinheiro Borda,2,0,RS,PR,12,0,51%,424,Sem Info,5,3,1,2,3,18,0,49%,401,Sem Info,16,5,0,4,11
5045,6,2015-06-07,19:28:00,Goias,Avai,H. Pinto dos Anjos,G. Kleina,Avai,Estádio do Governo do Estado de Goiás (Serra Dourada),0,1,GO,SC,8,0,56%,496,Sem Info,15,2,0,4,6,11,0,44%,401,Sem Info,17,4,0,2,2
5044,6,2015-06-07,19:32:00,Figueirense,Palmeiras,A. Fucks,O. de Oliveira Filho,Figueirense, Orlando Scarpelli,2,1,SC,SP,7,0,33%,253,Sem Info,22,3,0,7,2,13,0,67%,506,Sem Info,14,3,0,3,4
5047,7,2015-06-10,19:30:00,Atletico-MG,Santos,L. Culpi,M. Fernandes,-,Estádio Raimundo Sampaio,2,2,MG,SP,18,0,63%,520,Sem Info,8,1,0,4,12,10,0,37%,320,Sem Info,15,4,0,4,5
5050,7,2015-06-13,16:30:00,Corinthians,Internacional,A. Bacchi,D. Aguirre Camblor,Corinthians,Neo Química Arena,2,1,SP,RS,13,0,48%,392,Sem Info,10,0,0,4,4,12,0,52%,427,Sem Info,9,2,0,1,7
5049,7,2015-06-13,16:32:00,Chapecoense,Sao Paulo,V. Eutrópio,J. Osorio,Sao Paulo,Arena Condá,0,1,SC,SP,15,0,60%,460,Sem Info,5,2,0,3,7,5,0,40%,322,Sem Info,29,4,0,1,3
5048,7,2015-06-13,16:33:00,Coritiba,Flamengo,N. da Silveira Júnior,C. Borges dos Santos,Flamengo, Couto Pereira,0,1,PR,RJ,12,0,57%,478,Sem Info,17,2,0,0,8,8,0,43%,380,Sem Info,14,3,1,2,2
5051,7,2015-06-13,20:58:00,Sport,Joinville,E. Baptista,A. Batista,Sport,Adelmar da Costa Carvalho,2,1,PE,SC,10,0,47%,379,Sem Info,10,0,0,7,3,21,0,53%,417,Sem Info,13,4,0,2,6
5052,7,2015-06-13,21:01:00,Vasco,Cruzeiro,D. Ghidoni Junior,V. Luxemburgo da Silva,Cruzeiro,Estádio Vasco da Gama,1,3,RJ,MG,14,0,60%,536,Sem Info,13,2,0,3,6,8,0,40%,362,Sem Info,25,4,0,1,0
5055,7,2015-06-14,15:58:00,Palmeiras,Fluminense,A. Valentim do Carmo Neto,E. Alves Moreira,Palmeiras,Allianz Parque,2,1,SP,RJ,25,11,68%,564,Sem Info,6,0,0,1,7,6,3,32%,283,Sem Info,13,6,2,0,2
5054,7,2015-06-14,15:59:00,Avai,Figueirense,G. Kleina,A. Fucks,-,  Ressacada,1,1,SC,SC,8,0,58%,304,Sem Info,14,4,0,0,5,9,0,42%,229,Sem Info,26,3,0,4,2
5056,7,2015-06-14,16:00:00,Gremio,Athletico-PR,R. Machado Marques,M. Mendes,Gremio,Arena do Grêmio,2,1,RS,PR,20,0,56%,428,Sem Info,8,1,0,6,13,12,0,44%,344,Sem Info,22,4,0,0,7
5058,8,2015-06-20,16:30:00,Sport,Vasco,E. Baptista,D. Ghidoni Junior,Sport,Arena de Pernambuco,2,1,PE,RJ,12,0,46%,425,Sem Info,10,2,0,1,4,9,0,54%,482,Sem Info,12,3,0,0,4
5059,8,2015-06-20,16:30:00,Flamengo,Atletico-MG,C. Borges dos Santos,L. Culpi,Atletico-MG, Maracanã,0,2,RJ,MG,12,0,54%,504,Sem Info,8,0,0,1,4,8,0,46%,457,Sem Info,14,0,1,1,3
5060,8,2015-06-20,16:33:00,Santos,Corinthians,M. Fernandes,A. Bacchi,Santos,Estádio Urbano Caldeira,1,0,SP,SP,10,0,41%,351,Sem Info,19,4,1,4,6,10,0,59%,502,Sem Info,17,3,1,1,7
5061,8,2015-06-20,21:01:00,Gremio,Palmeiras,R. Machado Marques,M. de Oliveira Santos,Gremio,Arena do Grêmio,1,0,RS,SP,12,0,49%,485,Sem Info,11,4,0,7,1,14,0,51%,476,Sem Info,9,3,0,0,7
5062,8,2015-06-21,11:01:00,Cruzeiro,Chapecoense,V. Luxemburgo da Silva,V. Eutrópio,Chapecoense, Mineirão,0,1,MG,SC,14,0,62%,526,Sem Info,9,4,0,2,5,6,0,38%,323,Sem Info,16,3,0,1,4
5063,8,2015-06-21,15:59:00,Joinville,Goias,A. Batista,H. Pinto dos Anjos,Joinville,Arena Joinville,2,1,SC,GO,12,0,48%,377,Sem Info,13,4,1,0,3,15,0,52%,394,Sem Info,12,4,1,2,11
5065,8,2015-06-21,16:00:00,Sao Paulo,Avai,J. Osorio,G. Kleina,-, Morumbi,1,1,SP,SC,16,0,58%,414,Sem Info,14,1,0,9,9,13,0,42%,314,Sem Info,13,5,0,1,9
5064,8,2015-06-21,16:01:00,Athletico-PR,Coritiba,M. Mendes,N. da Silveira Júnior,-,Estádio Joaquim Américo Guimarães,2,2,PR,PR,17,0,51%,381,Sem Info,10,2,0,4,2,15,0,49%,384,Sem Info,20,3,2,2,3
5066,8,2015-06-24,19:30:00,Fluminense,Ponte Preta,E. Alves Moreira,A. Ferreira,Fluminense, Maracanã,2,0,RJ,SP,21,6,48%,452,Sem Info,16,2,0,1,3,11,3,52%,473,Sem Info,18,3,0,0,6
5067,9,2015-06-27,16:01:00,Avai,Gremio,G. Kleina,R. Machado Marques,Gremio,  Ressacada,1,2,SC,RS,12,0,50%,375,Sem Info,14,3,0,1,12,7,0,50%,406,Sem Info,16,3,0,3,4
5068,9,2015-06-27,16:01:00,Chapecoense,Sport,V. Eutrópio,E. Baptista,-,Arena Condá,1,1,SC,PE,14,0,64%,433,Sem Info,7,1,0,2,16,14,0,36%,265,Sem Info,16,6,0,1,3
5069,9,2015-06-27,21:00:00,Corinthians,Figueirense,A. Bacchi,A. Fucks,Corinthians,Neo Química Arena,2,1,SP,SC,13,0,52%,473,Sem Info,10,0,0,1,7,6,0,48%,452,Sem Info,11,2,0,3,3
5070,9,2015-06-28,10:59:00,Atletico-MG,Joinville,L. Culpi,A. Batista,Atletico-MG, Mineirão,1,0,MG,SC,13,0,58%,505,Sem Info,11,2,0,4,10,7,0,42%,376,Sem Info,13,1,0,7,3
5071,9,2015-06-28,15:59:00,Palmeiras,Sao Paulo,M. de Oliveira Santos,J. Osorio,Palmeiras,Allianz Parque,4,0,SP,SP,13,0,40%,344,Sem Info,18,1,0,2,8,9,0,60%,503,Sem Info,14,3,0,3,2
5072,9,2015-06-28,15:59:00,Goias,Fluminense,A. César,E. Alves Moreira,Fluminense,Estádio do Governo do Estado de Goiás (Serra Dourada),1,2,GO,RJ,19,6,46%,371,Sem Info,15,2,0,6,13,10,5,54%,443,Sem Info,12,2,1,1,3
5073,9,2015-06-28,16:02:00,Ponte Preta,Athletico-PR,A. Ferreira,M. Mendes,Ponte Preta, Moisés Lucarelli,2,1,SP,PR,14,0,52%,408,Sem Info,16,1,0,2,6,18,0,48%,371,Sem Info,27,2,0,1,5
5074,9,2015-06-28,16:03:00,Coritiba,Cruzeiro,N. da Silveira Júnior,V. Luxemburgo da Silva,Coritiba, Couto Pereira,1,0,PR,MG,12,0,49%,362,Sem Info,22,5,0,4,3,11,0,51%,373,Sem Info,15,5,0,3,2
5075,9,2015-06-28,18:31:00,Vasco,Flamengo,C. Juarez Roth,C. Borges dos Santos,Vasco,Arena Pantanal,1,0,RJ,RJ,6,0,32%,255,Sem Info,18,4,0,1,2,6,0,68%,535,Sem Info,10,0,0,7,10
5076,9,2015-06-28,18:31:00,Internacional,Santos,D. Aguirre Camblor,M. Fernandes,Internacional,Estádio José Pinheiro Borda,1,0,RS,SP,12,0,61%,506,Sem Info,4,3,0,2,8,16,0,39%,324,Sem Info,12,2,1,3,7
5077,10,2015-07-01,19:31:00,Sport,Internacional,E. Baptista,D. Aguirre Camblor,Sport,Adelmar da Costa Carvalho,3,0,PE,RS,13,0,40%,322,Sem Info,13,2,0,2,6,12,0,60%,469,Sem Info,8,2,1,3,7
5078,10,2015-07-01,19:31:00,Vasco,Avai,C. Juarez Roth,G. Kleina,Vasco,Estádio Vasco da Gama,1,0,RJ,SC,13,0,48%,375,Sem Info,16,3,1,6,6,13,0,52%,404,Sem Info,11,2,1,1,6
5079,10,2015-07-01,21:00:00,Palmeiras,Chapecoense,M. de Oliveira Santos,V. Eutrópio,Palmeiras,Allianz Parque,2,0,SP,SC,16,0,48%,428,Sem Info,15,0,0,4,2,8,0,52%,472,Sem Info,17,3,0,2,3
5080,10,2015-07-01,21:00:00,Atletico-MG,Coritiba,L. Culpi,N. da Silveira Júnior,Atletico-MG,Estádio Raimundo Sampaio,2,0,MG,PR,16,0,60%,564,Sem Info,8,3,0,6,3,10,0,40%,394,Sem Info,11,5,0,5,4
5082,10,2015-07-01,22:00:00,Gremio,Cruzeiro,R. Machado Marques,V. Luxemburgo da Silva,Gremio,Arena do Grêmio,1,0,RS,MG,22,0,58%,478,Sem Info,21,5,0,1,13,14,0,42%,353,Sem Info,21,6,0,0,2
5081,10,2015-07-01,22:01:00,Joinville,Flamengo,A. Batista,C. Borges dos Santos,Flamengo,Arena Joinville,0,1,SC,RJ,8,0,63%,580,Sem Info,14,3,0,1,3,11,0,37%,337,Sem Info,11,2,0,4,3
5083,10,2015-07-01,22:01:00,Athletico-PR,Sao Paulo,M. Mendes,J. Osorio,Athletico-PR,Estádio Joaquim Américo Guimarães,2,1,PR,SP,11,0,46%,432,Sem Info,17,2,0,1,4,10,0,54%,501,Sem Info,8,0,0,3,2
5085,10,2015-07-02,19:29:00,Figueirense,Goias,A. Fucks,A. César,Figueirense, Orlando Scarpelli,3,1,SC,GO,10,0,46%,395,Sem Info,17,1,1,1,1,16,0,54%,443,Sem Info,20,2,0,1,4
5084,10,2015-07-02,19:33:00,Corinthians,Ponte Preta,A. Bacchi,A. Ferreira,Corinthians,Neo Química Arena,2,0,SP,SP,17,0,46%,468,Sem Info,5,1,0,0,5,11,0,54%,522,Sem Info,12,2,0,2,5
5086,10,2015-07-02,20:59:00,Fluminense,Santos,E. Alves Moreira,M. Fernandes,Fluminense, Maracanã,2,1,RJ,SP,8,0,52%,442,Sem Info,7,2,0,1,1,9,0,48%,424,Sem Info,21,3,0,1,3
